id_client,polynomial_ma_1,polynomial_ar_1,cluster,cluster_DBSCAN
193,-0.9995078336800824,-0.6556146194501066,0.0,0.0
194,-0.9992389635892888,-0.6555579452585379,0.0,0.0
195,-0.9975439490654168,-0.6555454327875084,0.0,0.0
196,-0.44691324894944895,,2.0,29.0
197,,,2.0,29.0
198,-0.9996681869887232,-0.6555441935768987,0.0,0.0
199,-0.9982066285893276,-0.6555338819262413,0.0,0.0
200,,,2.0,29.0
201,-0.9994486850572408,-0.6555720347120149,0.0,0.0
202,-0.9997785719772896,-0.6555064002549087,0.0,0.0
203,-0.99987213614501,-0.6555572085881928,0.0,0.0
204,-0.17693501952016005,,2.0,29.0
205,,,2.0,29.0
206,,,2.0,29.0
207,,,2.0,29.0
208,,,2.0,29.0
209,,,2.0,29.0
210,,,2.0,29.0
211,,,2.0,29.0
212,,,2.0,29.0
213,,,2.0,29.0
214,,,2.0,29.0
215,,,2.0,29.0
216,,,2.0,29.0
217,,,2.0,29.0
218,,,2.0,29.0
219,,,2.0,29.0
220,,,2.0,29.0
221,,,2.0,29.0
222,,,2.0,29.0
223,,0.04858326731504839,2.0,29.0
224,,,2.0,29.0
225,,,2.0,29.0
226,,,2.0,29.0
227,,,2.0,29.0
228,,,2.0,29.0
229,,,2.0,29.0
230,,,2.0,29.0
231,,,2.0,29.0
232,,,2.0,29.0
233,,,2.0,29.0
234,,,2.0,29.0
235,,,2.0,29.0
236,,,2.0,29.0
237,,,2.0,29.0
238,,,2.0,29.0
239,,,2.0,29.0
240,,,2.0,29.0
241,,,2.0,29.0
242,,,2.0,29.0
243,,,2.0,29.0
244,,,2.0,29.0
245,,,2.0,29.0
246,,,2.0,29.0
247,,,2.0,29.0
248,,,2.0,29.0
249,,,2.0,29.0
250,,,2.0,29.0
251,-0.9994080073449224,-0.6555503595658115,0.0,0.0
252,-0.9984768850363496,-0.6555548176816128,0.0,0.0
253,-0.999769176763978,-0.6555699376175186,0.0,0.0
254,-0.9987529305476732,-0.6555787582561362,0.0,0.0
255,-0.9995636537735252,-0.6555818190646986,0.0,0.0
256,-0.9982535078418852,-0.6556546489776296,0.0,0.0
257,,,2.0,29.0
258,-0.999612996914021,-0.6555453763223342,0.0,0.0
259,,,2.0,29.0
260,,,2.0,29.0
261,-0.9996474904443324,-0.6555445123592364,0.0,0.0
262,-0.9974574593373504,-0.6555071589501271,0.0,0.0
263,-0.7612417097242893,,2.0,29.0
264,0.5744025976465718,0.7558419257317226,1.0,3.0
265,0.22737747114380505,0.6246672645570722,1.0,6.0
266,,0.13816329136950373,2.0,29.0
267,-0.9996815624155619,-0.6555732047259786,0.0,0.0
268,-0.9994888591552572,-0.6555527775376649,0.0,0.0
269,-0.999809215816608,-0.6555363930521967,0.0,0.0
270,,,2.0,29.0
271,-0.9992673510195016,-0.6555842641126148,0.0,0.0
272,0.5569985228389199,,2.0,29.0
273,,,2.0,29.0
274,,,2.0,29.0
275,-0.9981782525444745,-0.6474662464619573,0.0,0.0
276,-0.9995938516502556,-0.6555485412159764,0.0,0.0
277,,,2.0,29.0
278,-0.9997737422321312,-0.6555653477261872,0.0,0.0
279,-0.9992790719970269,-0.6555891706295425,0.0,0.0
280,-0.9979731143483808,-0.6555239184598685,0.0,0.0
281,,,2.0,29.0
282,,,2.0,29.0
283,,,2.0,29.0
284,,,2.0,29.0
285,,,2.0,29.0
286,,,2.0,29.0
287,,,2.0,29.0
288,,,2.0,29.0
289,,,2.0,29.0
290,-0.13167952019855367,0.8371868810901729,1.0,-1.0
291,,,2.0,29.0
292,,,2.0,29.0
293,,,2.0,29.0
294,,,2.0,29.0
295,,,2.0,29.0
296,,,2.0,29.0
297,,,2.0,29.0
298,,,2.0,29.0
299,-0.998740641147201,-0.6555789784937521,0.0,0.0
300,-0.9979745928496548,0.013210631921720159,0.0,7.0
301,,,2.0,29.0
302,,,2.0,29.0
303,-0.9994177852489966,-0.6555690379549981,0.0,0.0
304,-0.09507023673687044,,2.0,29.0
305,,,2.0,29.0
306,,,2.0,29.0
307,-0.9994755521610338,-0.6555774162651753,0.0,0.0
308,-0.999422923952822,-0.6555574107047617,0.0,0.0
309,-0.9993986719987408,-0.6554747319917218,0.0,0.0
310,-0.999642498670574,-0.6555327081910695,0.0,0.0
311,-0.9986498171888316,-0.6555526931983531,0.0,0.0
312,-0.9988352956776124,-0.655522894692117,0.0,0.0
313,,,2.0,29.0
314,-0.9997292225637041,-0.6556135032850692,0.0,0.0
315,-0.9993220638201462,-0.6555481771952231,0.0,0.0
316,-0.9979399530721236,-0.6555274674964312,0.0,0.0
317,,,2.0,29.0
318,,,2.0,29.0
319,,,2.0,29.0
320,,,2.0,29.0
321,,,2.0,29.0
322,,,2.0,29.0
323,,,2.0,29.0
324,,,2.0,29.0
325,-0.9938005180858348,-0.9999998972316178,0.0,8.0
326,,,2.0,29.0
327,,,2.0,29.0
328,,,2.0,29.0
329,,,2.0,29.0
